epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6767728924751282,1.5234025716781616,1e-04,0.37688443064689636,1.6154110431671143
1,0.6778005957603455,1.382894515991211,1e-04,0.5628140568733215,1.3663897514343262
2,0.7091469764709473,1.3107942342758179,1e-04,0.572864294052124,1.3962246179580688
3,0.7255909442901611,1.2584627866744995,1e-04,0.5778894424438477,1.4429925680160522
4,0.7482014298439026,1.2288074493408203,1e-04,0.7437185645103455,1.2008445262908936
5,0.7785200476646423,1.172196388244629,1e-04,0.7537688612937927,1.1745185852050781
6,0.7877697944641113,1.1340693235397339,1e-04,0.6281406879425049,1.3884018659591675
7,0.8124357461929321,1.1075317859649658,1e-04,0.7587939500808716,1.1267930269241333
8,0.8242548704147339,1.072399377822876,1e-04,0.7688442468643188,1.1963151693344116
9,0.8324768543243408,1.0480644702911377,1e-04,0.7688442468643188,1.1762902736663818
10,0.8478931188583374,1.0246676206588745,1e-04,0.8140703439712524,1.1203677654266357
11,0.8525179624557495,1.0069117546081543,1e-04,0.8442211151123047,1.0437889099121094
12,0.866906464099884,0.9683194756507874,1e-04,0.8592965006828308,1.0790423154830933
13,0.8720452189445496,0.9521486759185791,1e-04,0.839195966720581,1.0559818744659424
14,0.8771839737892151,0.9367072582244873,1e-04,0.7839195728302002,1.1594070196151733
15,0.8756423592567444,0.9230906963348389,1e-04,0.8542713522911072,1.0346753597259521
16,0.8895169496536255,0.9116951823234558,1e-04,0.8341708779335022,1.0209341049194336
17,0.8941418528556824,0.8867746591567993,1e-04,0.8090452551841736,1.0440728664398193
18,0.9008222222328186,0.8656536340713501,1e-05,0.8844221234321594,0.9256672859191895
19,0.9003083109855652,0.8667299747467041,1e-05,0.8793969750404358,0.92959064245224
20,0.9064748287200928,0.8596879243850708,1e-05,0.8844221234321594,0.9308792948722839
21,0.9105858206748962,0.8528563380241394,1e-05,0.8894472122192383,0.927623987197876
22,0.9116135835647583,0.8464754223823547,1e-05,0.8944723606109619,0.9237547516822815
23,0.9146968126296997,0.850291907787323,1e-05,0.8793969750404358,0.9316650032997131
24,0.9116135835647583,0.8510091304779053,1e-05,0.8894472122192383,0.9250381588935852
25,0.9080164432525635,0.8486354351043701,1e-05,0.8793969750404358,0.9388743042945862
26,0.9141829609870911,0.8466259241104126,1e-05,0.8793969750404358,0.9311672449111938
27,0.9177800416946411,0.8345339298248291,1e-05,0.8743718862533569,0.934836745262146
28,0.9162384271621704,0.8366165161132812,1e-06,0.8693467378616333,0.9321904182434082
29,0.913155198097229,0.8362250924110413,1e-06,0.8844221234321594,0.9223687052726746
30,0.9085302948951721,0.8413028120994568,1e-06,0.8793969750404358,0.9245256781578064
31,0.9090442061424255,0.8405713438987732,1e-06,0.8844221234321594,0.9276217222213745
32,0.9182939529418945,0.8337227702140808,1e-06,0.8844221234321594,0.9203072786331177
33,0.9157245755195618,0.8375007510185242,1e-07,0.8844221234321594,0.9268113374710083
34,0.9234327077865601,0.8281140923500061,1e-07,0.8793969750404358,0.9223400354385376
35,0.9141829609870911,0.8384538292884827,1e-07,0.8743718862533569,0.9296532869338989
36,0.9080164432525635,0.8417176604270935,1e-07,0.8743718862533569,0.9260255694389343
37,0.9090442061424255,0.8385784029960632,1e-07,0.8793969750404358,0.9241277575492859
38,0.9126412868499756,0.840188205242157,1e-07,0.8844221234321594,0.9258270263671875
39,0.9116135835647583,0.8324572443962097,1e-07,0.8743718862533569,0.9260384440422058
40,0.9141829609870911,0.8362526893615723,1e-07,0.8894472122192383,0.9253869652748108
41,0.9141829609870911,0.8410253524780273,1e-07,0.8743718862533569,0.9239463806152344
42,0.9167523384094238,0.8332391381263733,1e-07,0.8894472122192383,0.9235132336616516
